Name,Qentry,Lattitude,Longitude,Marker,InfoWindow,EssayTitle,EssayLink,NextTitle,OtherLink
HOME,,42.8781,73.1968,"Bennington, VT, USA",,,,"Boston, Massachusetts",https://docs.google.com/document/d/1ACrTahE3G-iGLaRwSWtHyfzWQOOnkTxEDgO1-LKGqik/edit#bookmark=id.dcj4sd5mfd0d
Kadin01,29,42.3601,71.0589,"Boston, Massachusetts",A museum or other specific exhibition of interest,A Museum of Interest: The Boston Museum of Science,https://docs.google.com/document/d/1ACrTahE3G-iGLaRwSWtHyfzWQOOnkTxEDgO1-LKGqik/edit#bookmark=id.dcj4sd5mfd0d,"The Ring of Brodgar, Scotland",https://docs.google.com/document/d/1qMLM7crcMEuqr83xCk-SGZC1sx6donGGU4nroJQAX4k/edit#bookmark=id.n2d0ac1z61ls
Maria01,74,59.0015,3.2298,"Orkney Islands, Scotland",A destination that relates to ancient astronomy,A Destination that Relates to Ancient Astronomy: The Ring of Brodgar,https://docs.google.com/document/d/1qMLM7crcMEuqr83xCk-SGZC1sx6donGGU4nroJQAX4k/edit#bookmark=id.n2d0ac1z61ls,"The Bialowieza Forest, Poland",https://docs.google.com/document/d/1ACrTahE3G-iGLaRwSWtHyfzWQOOnkTxEDgO1-LKGqik/edit#bookmark=id.ca819b8pytmt
McKenzie01,66,52.7229,23.6556,"Podlaskie Voivodeship, Poland",An ancient forest,The Bialowieza Forest in Poland,https://docs.google.com/document/d/1ACrTahE3G-iGLaRwSWtHyfzWQOOnkTxEDgO1-LKGqik/edit#bookmark=id.ca819b8pytmt,"The Berlin Wall Memorial, Germany",https://docs.google.com/document/d/1qMLM7crcMEuqr83xCk-SGZC1sx6donGGU4nroJQAX4k/edit#bookmark=id.pesw6h4x01bc
Maria02,37,52.5351,13.3902,"Berlin, Germany",A tourist destination in a major European city,A Tourist Destination in a Major European City: The Berlin Wall Memorial,https://docs.google.com/document/d/1qMLM7crcMEuqr83xCk-SGZC1sx6donGGU4nroJQAX4k/edit#bookmark=id.pesw6h4x01bc,"Ostia Antica, Rome",https://docs.google.com/document/d/1ACrTahE3G-iGLaRwSWtHyfzWQOOnkTxEDgO1-LKGqik/edit#bookmark=id.fqu4h6cppgr1
Stephanie01,24,41.7311,12.2863,"Rome, Italy",An ancient seaport,An Ancient Seaport: Ostia Antica,https://docs.google.com/document/d/1ACrTahE3G-iGLaRwSWtHyfzWQOOnkTxEDgO1-LKGqik/edit#bookmark=id.fqu4h6cppgr1,"Bologna, Italy",https://docs.google.com/document/d/1kbyTLA1E81MBBGyFbomgW4HIGfCPxKzXo7K_5p0T53U/edit#bookmark=id.m52jj7i774iz
Tran01,60,44.4949,11.3426,"Bologna, Italy",A gastronomic-tourism destination,Bologna: The Food Capital of Italy,https://docs.google.com/document/d/1kbyTLA1E81MBBGyFbomgW4HIGfCPxKzXo7K_5p0T53U/edit#bookmark=id.m52jj7i774iz,"Paris, France",https://docs.google.com/document/d/1KNBajBVThW1ZeoNwG-6fbdN5mUg7vxrwTnIB6QrBxOA/edit#bookmark=id.umvd68t52a1f
Tran02,55,48.856502,2.347826,"Paris, France",A place where you can take a boat or barge ride up or down a river,"A Cruise on The Seine River, Paris, France",https://docs.google.com/document/d/1KNBajBVThW1ZeoNwG-6fbdN5mUg7vxrwTnIB6QrBxOA/edit#bookmark=id.umvd68t52a1f,"Saint-Denis, Frace",https://docs.google.com/document/d/1qMLM7crcMEuqr83xCk-SGZC1sx6donGGU4nroJQAX4k/edit#bookmark=id.go1771pg1fx7
McKenzie02,84,48.93897,2.355555,"Saint-Denis, Paris, France",A site of a recent terrorist attack (not in the United States),Terrorist Attack in France,https://docs.google.com/document/d/1qMLM7crcMEuqr83xCk-SGZC1sx6donGGU4nroJQAX4k/edit#bookmark=id.go1771pg1fx7,"London, England",https://docs.google.com/document/d/1qMLM7crcMEuqr83xCk-SGZC1sx6donGGU4nroJQAX4k/edit#bookmark=id.d7o588ooswan
Kadin02,28,51.5074,0.1278,"London, England",A destination that is the birthplace of a famous person,London - The Birthplace of the Famous Charlie Chaplin,https://docs.google.com/document/d/1qMLM7crcMEuqr83xCk-SGZC1sx6donGGU4nroJQAX4k/edit#bookmark=id.d7o588ooswan,"London, England",https://docs.google.com/document/d/1kbyTLA1E81MBBGyFbomgW4HIGfCPxKzXo7K_5p0T53U/edit#bookmark=id.2dvfyuxh8f4z
